image,anomaly_score
test_0000.png,2.8483300209
test_0001.png,2.4983282089
test_0002.png,2.7514886856
test_0003.png,4.4197759628
test_0004.png,2.4942479134
test_0005.png,2.5286173820
test_0006.png,2.8031904697
test_0007.png,2.7336382866
test_0008.png,2.7153050900
test_0009.png,2.4131069183
test_0010.png,2.7613034248
test_0011.png,2.2538001537
test_0012.png,2.5772159100
test_0013.png,2.6417646408
test_0014.png,2.2918925285
test_0015.png,2.5547688007
test_0016.png,2.6307873726
test_0017.png,2.6693773270
test_0018.png,2.8072714806
test_0019.png,2.6506028175
test_0020.png,1.3528481722
test_0021.png,2.1456344128
test_0022.png,2.2775251865
test_0023.png,2.5069761276
test_0024.png,2.4425876141
test_0025.png,1.8594810963
test_0026.png,2.1488661766
test_0027.png,1.9638853073
test_0028.png,2.0663390160
test_0029.png,2.1682324409
test_0030.png,2.4933171272
test_0031.png,1.8667150736
test_0032.png,2.5156610012
test_0033.png,2.5139818192
test_0034.png,1.7153674364
test_0035.png,2.2429482937
test_0036.png,2.1359534264
test_0037.png,2.3962507248
test_0038.png,2.9040634632
test_0039.png,2.2235405445
test_0040.png,2.4359500408
test_0041.png,2.0937633514
test_0042.png,2.4048614502
test_0043.png,2.0879614353
test_0044.png,2.0605356693
test_0045.png,1.9760236740
test_0046.png,1.7834281921
test_0047.png,2.4048213959
test_0048.png,2.2753033638
test_0049.png,11.6063270569
test_0050.png,2.3200616837
test_0051.png,2.0609188080
test_0052.png,2.1734240055
test_0053.png,2.1982755661
test_0054.png,2.0003530979
test_0055.png,5.7677726746
test_0056.png,2.8409852982
test_0057.png,2.1051399708
test_0058.png,2.0129737854
test_0059.png,11.8369407654
test_0060.png,1.9859465361
test_0061.png,1.6580712795
test_0062.png,2.0143938065
test_0063.png,1.7829786539
test_0064.png,1.1515061855
test_0065.png,1.2698882818
test_0066.png,2.1101670265
test_0067.png,1.1210919619
test_0068.png,1.0557159185
test_0069.png,1.5926334858
test_0070.png,1.3632936478
test_0071.png,1.0853493214
test_0072.png,1.3733584881
test_0073.png,1.7468324900
test_0074.png,1.2735276222
test_0075.png,1.4682220221
test_0076.png,1.7832530737
test_0077.png,1.2867563963
test_0078.png,1.3447291851
test_0079.png,1.9510083199
test_0080.png,1.5333869457
test_0081.png,1.3870388269
test_0082.png,1.5501488447
