image,anomaly_score,anomaly_rank
test_0000.png,139867.9843750000,12
test_0001.png,126064.1250000000,14
test_0002.png,112542.6640625000,23
test_0003.png,205320.9531250000,6
test_0004.png,106310.2109375000,28
test_0005.png,109512.5859375000,25
test_0006.png,183248.5156250000,7
test_0007.png,118794.2890625000,19
test_0008.png,150138.5468750000,9
test_0009.png,75994.8671875000,45
test_0010.png,122594.1875000000,16
test_0011.png,66580.8750000000,48
test_0012.png,88523.2109375000,38
test_0013.png,112785.6328125000,22
test_0014.png,92229.2265625000,35
test_0015.png,116575.4921875000,20
test_0016.png,146132.8125000000,10
test_0017.png,97263.5546875000,31
test_0018.png,141979.4218750000,11
test_0019.png,109386.7109375000,26
test_0020.png,30057.6035156250,61
test_0021.png,103655.7890625000,29
test_0022.png,84967.7812500000,40
test_0023.png,92293.7812500000,34
test_0024.png,123036.7109375000,15
test_0025.png,68464.1015625000,47
test_0026.png,90220.5703125000,37
test_0027.png,40403.9531250000,56
test_0028.png,62541.8867187500,50
test_0029.png,119221.0937500000,18
test_0030.png,92004.6015625000,36
test_0031.png,55795.8320312500,52
test_0032.png,135805.5156250000,13
test_0033.png,120265.2812500000,17
test_0034.png,25578.5839843750,63
test_0035.png,76006.5703125000,44
test_0036.png,94113.3515625000,32
test_0037.png,92686.1015625000,33
test_0038.png,114879.8515625000,21
test_0039.png,99439.6562500000,30
test_0040.png,106961.9609375000,27
test_0041.png,162520.1562500000,8
test_0042.png,84511.7890625000,41
test_0043.png,41489.8945312500,55
test_0044.png,45559.2187500000,54
test_0045.png,28071.1230468750,62
test_0046.png,38277.3281250000,57
test_0047.png,111881.7734375000,24
test_0048.png,76537.4609375000,43
test_0049.png,748402.3125000000,2
test_0050.png,88291.3125000000,39
test_0051.png,33313.4531250000,59
test_0052.png,63662.9335937500,49
test_0053.png,81053.8437500000,42
test_0054.png,48059.7148437500,53
test_0055.png,424723.8750000000,3
test_0056.png,227492.2343750000,5
test_0057.png,71340.4921875000,46
test_0058.png,37534.5117187500,58
test_0059.png,763341.5000000000,1
test_0060.png,249556.6250000000,4
test_0061.png,30147.4921875000,60
test_0062.png,60257.7070312500,51
test_0063.png,1269.8250732422,75
test_0064.png,2761.5390625000,67
test_0065.png,1256.3145751953,76
test_0066.png,1474.4932861328,74
test_0067.png,249.7855072021,83
test_0068.png,303.6092834473,81
test_0069.png,2166.6801757812,70
test_0070.png,895.4448242188,78
test_0071.png,285.3891906738,82
test_0072.png,1603.8657226562,73
test_0073.png,2672.9560546875,68
test_0074.png,652.3091430664,79
test_0075.png,1723.1773681641,72
test_0076.png,584.4635620117,80
test_0077.png,916.8969116211,77
test_0078.png,5447.1762695312,65
test_0079.png,2529.0998535156,69
test_0080.png,10531.5537109375,64
test_0081.png,1775.0644531250,71
test_0082.png,2808.7897949219,66
