image,anomaly_score,calibrated_score
test_0000.png,0.1901102215,1.0000000000
test_0001.png,0.1420229077,1.0000000000
test_0002.png,0.0882000551,0.9997250438
test_0003.png,0.1193799675,0.9999995232
test_0004.png,0.1482107937,1.0000000000
test_0005.png,0.0814973265,0.9989386201
test_0006.png,0.0766620934,0.9971912503
test_0007.png,0.1252991855,0.9999998808
test_0008.png,0.1923186183,1.0000000000
test_0009.png,0.1151503250,0.9999988079
test_0010.png,0.1395619363,1.0000000000
test_0011.png,0.1077212021,0.9999946356
test_0012.png,0.1287617683,0.9999998808
test_0013.png,0.1303089857,1.0000000000
test_0014.png,0.0901197419,0.9998132586
test_0015.png,0.1194183901,0.9999995232
test_0016.png,0.1109118015,0.9999971390
test_0017.png,0.0886946172,0.9997510314
test_0018.png,0.1300514489,1.0000000000
test_0019.png,0.1766260564,1.0000000000
test_0020.png,0.1207841337,0.9999996424
test_0021.png,0.1827157140,1.0000000000
test_0022.png,0.1916625202,1.0000000000
test_0023.png,0.0939846858,0.9999142885
test_0024.png,0.1123215631,0.9999978542
test_0025.png,0.1824545860,1.0000000000
test_0026.png,0.1067489535,0.9999934435
test_0027.png,0.0914344415,0.9998567104
test_0028.png,0.1932239532,1.0000000000
test_0029.png,0.1116295606,0.9999976158
test_0030.png,0.1626826078,1.0000000000
test_0031.png,0.1780967116,1.0000000000
test_0032.png,0.1355994344,1.0000000000
test_0033.png,0.1035300642,0.9999874830
test_0034.png,0.2173012197,1.0000000000
test_0035.png,0.0857428983,0.9995487332
test_0036.png,0.0526628718,0.7375884056
test_0037.png,0.0527476594,0.7408837676
test_0038.png,0.0509388596,0.6650491953
test_0039.png,0.0595906302,0.9191046953
test_0040.png,0.0613366738,0.9417107701
test_0041.png,0.0647698641,0.9699528217
test_0042.png,0.0724822059,0.9935000539
test_0043.png,0.0665523633,0.9788318872
test_0044.png,0.0603305846,0.9295261502
test_0045.png,0.0599165335,0.9238575697
test_0046.png,0.0502174422,0.6319113374
test_0047.png,0.0494068488,0.5931478739
test_0048.png,0.0652391687,0.9725912213
test_0049.png,0.0566288978,0.8621306419
test_0050.png,0.0639060438,0.9644396305
test_0051.png,0.0577182919,0.8862245679
test_0052.png,0.0455167815,0.3995549083
test_0053.png,0.0470341817,0.4746761024
test_0054.png,0.0480329096,0.5249744058
test_0055.png,0.0507584065,0.6568965316
test_0056.png,0.0477861091,0.5125526190
test_0057.png,0.0575325713,0.8823940754
test_0058.png,0.0514543876,0.6877922416
test_0059.png,0.0489417911,0.5703377128
test_0060.png,0.0485700220,0.5518808961
test_0061.png,0.0518463328,0.7045046687
test_0062.png,0.0509724617,0.6665566564
test_0063.png,0.0531590879,0.7564877272
test_0064.png,0.1116712913,0.9999976158
test_0065.png,0.0597336441,0.9212228060
test_0066.png,0.1283972561,0.9999998808
test_0067.png,0.1924482733,1.0000000000
test_0068.png,0.1813302040,1.0000000000
test_0069.png,0.1393044591,1.0000000000
test_0070.png,0.1843951344,1.0000000000
test_0071.png,0.1922483742,1.0000000000
test_0072.png,0.1987835169,1.0000000000
test_0073.png,0.1662128866,1.0000000000
test_0074.png,0.1758773625,1.0000000000
test_0075.png,0.1444621533,1.0000000000
test_0076.png,0.0963414311,0.9999467134
test_0077.png,0.1245439500,0.9999997616
test_0078.png,0.1826313883,1.0000000000
test_0079.png,0.1256372780,0.9999998808
test_0080.png,0.1045529470,0.9999898672
test_0081.png,0.0535843223,0.7719323635
test_0082.png,0.0614546984,0.9430033565
test_0083.png,0.1238587201,0.9999997616
test_0084.png,0.1490241885,1.0000000000
test_0085.png,0.1628553122,1.0000000000
test_0086.png,0.2207223475,1.0000000000
test_0087.png,0.1707401574,1.0000000000
test_0088.png,0.1888028085,1.0000000000
test_0089.png,0.1778708845,1.0000000000
test_0090.png,0.0939712897,0.9999140501
test_0091.png,0.1987127364,1.0000000000
test_0092.png,0.1067685112,0.9999934435
test_0093.png,0.1381464005,1.0000000000
test_0094.png,0.1300269365,0.9999998808
test_0095.png,0.0680789948,0.9843524098
test_0096.png,0.1072476506,0.9999940395
test_0097.png,0.1224421188,0.9999997616
test_0098.png,0.1964502931,1.0000000000
test_0099.png,0.0724935979,0.9935148954
test_0100.png,0.1601071060,1.0000000000
test_0101.png,0.1249797940,0.9999998808
test_0102.png,0.1502713561,1.0000000000
test_0103.png,0.1802106500,1.0000000000
test_0104.png,0.1505897343,1.0000000000
test_0105.png,0.1581783593,1.0000000000
test_0106.png,0.1938857436,1.0000000000
test_0107.png,0.0817826465,0.9989978671
test_0108.png,0.1747570634,1.0000000000
test_0109.png,0.1611283571,1.0000000000
test_0110.png,0.1586701870,1.0000000000
test_0111.png,0.1589090228,1.0000000000
test_0112.png,0.0627516061,0.9555345178
test_0113.png,0.0707444698,0.9907978773
test_0114.png,0.1476450264,1.0000000000
test_0115.png,0.1702908278,1.0000000000
test_0116.png,0.0525025204,0.7312830687
