category,step,rep,status,duration_sec,image_scores_count,isolation_ok
bottle,1,1,PASS,132,83,true
bottle,1,2,PASS,119,83,true
bottle,1,3,PASS,136,83,true
bottle,1,4,PASS,151,83,true
bottle,1,5,PASS,135,83,true
bottle,1,6,PASS,102,83,true
bottle,1,7,PASS,146,83,true
bottle,1,8,PASS,103,83,true
bottle,1,9,PASS,186,83,true
bottle,1,10,PASS,159,83,true
bottle,1,11,PASS,194,83,true
bottle,1,12,PASS,136,83,true
bottle,1,13,PASS,144,83,true
bottle,1,14,PASS,142,83,true
bottle,1,15,PASS,111,83,true
bottle,2,1,PASS,182,83,true
bottle,2,2,PASS,172,83,true
bottle,2,3,PASS,212,83,true
bottle,2,4,PASS,224,83,true
bottle,2,5,PASS,222,83,true
bottle,2,6,PASS,198,83,true
bottle,2,7,PASS,247,83,true
bottle,2,8,PASS,219,83,true
bottle,2,9,PASS,193,83,true
bottle,2,10,PASS,241,83,true
bottle,3,1,PASS,169,83,true
bottle,3,2,PASS,204,83,true
bottle,3,3,PASS,179,83,true
bottle,3,4,PASS,172,83,true
bottle,3,5,PASS,142,83,true
bottle,3,6,PASS,149,83,true
bottle,3,7,PASS,168,83,true
bottle,3,8,PASS,143,83,true
bottle,3,9,PASS,173,83,true
bottle,3,10,PASS,155,83,true
bottle,4,1,PASS,217,83,true
bottle,4,2,PASS,246,83,true
bottle,4,3,PASS,207,83,true
bottle,4,4,PASS,200,83,true
bottle,4,5,PASS,179,83,true
bottle,4,6,PASS,196,83,true
bottle,4,7,PASS,170,83,true
bottle,4,8,PASS,246,83,true
bottle,4,9,PASS,148,83,true
bottle,4,10,PASS,176,83,true
bottle,4,11,PASS,241,83,true
bottle,4,12,PASS,144,83,true
bottle,4,13,PASS,192,83,true
bottle,4,14,PASS,230,83,true
bottle,4,15,PASS,264,83,true
carpet,1,1,PASS,149,117,true
carpet,1,2,PASS,381,117,true
carpet,1,3,PASS,162,117,true
carpet,1,4,PASS,142,117,true
carpet,1,5,PASS,186,117,true
carpet,1,6,PASS,151,117,true
carpet,1,7,PASS,109,117,true
carpet,1,8,PASS,169,117,true
carpet,1,9,PASS,153,117,true
carpet,1,10,PASS,126,117,true
carpet,1,11,PASS,148,117,true
carpet,1,12,PASS,112,117,true
carpet,1,13,PASS,126,117,true
carpet,1,14,PASS,132,117,true
carpet,1,15,PASS,116,117,true
carpet,2,1,PASS,1179,117,true
carpet,2,2,PASS,177,117,true
carpet,2,3,PASS,210,117,true
carpet,2,4,PASS,227,117,true
carpet,2,5,PASS,192,117,true
carpet,2,6,PASS,171,117,true
carpet,2,7,PASS,149,117,true
carpet,2,8,PASS,159,117,true
carpet,2,9,PASS,223,117,true
carpet,2,10,PASS,241,117,true
carpet,3,1,PASS,229,117,true
carpet,3,2,PASS,165,117,true
carpet,3,3,PASS,179,117,true
carpet,3,4,PASS,182,117,true
carpet,3,5,PASS,182,117,true
carpet,3,6,PASS,174,117,true
carpet,3,7,PASS,161,117,true
carpet,3,8,PASS,161,117,true
carpet,3,9,PASS,172,117,true
carpet,3,10,PASS,163,117,true
carpet,4,1,PASS,201,117,true
carpet,4,2,PASS,244,117,true
carpet,4,3,PASS,182,117,true
carpet,4,4,PASS,200,117,true
carpet,4,5,PASS,172,117,true
carpet,4,6,PASS,227,117,true
carpet,4,7,PASS,155,117,true
carpet,4,8,PASS,156,117,true
carpet,4,9,PASS,144,117,true
carpet,4,10,PASS,220,117,true
carpet,4,11,PASS,241,117,true
carpet,4,12,PASS,144,117,true
carpet,4,13,PASS,210,117,true
carpet,4,14,PASS,201,117,true
carpet,4,15,PASS,141,117,true
